id,doc1,doc2,label
1,भारत एक सुंदर देश है और यहाँ की विविधता अद्भुत है,भारत एक खूबसूरत देश है जहाँ विविधता बहुत है,1
2,मौसम आज बहुत सुहावना है,कल की परीक्षा महत्वपूर्ण होगी,0
3,विज्ञान ने मानव जीवन में क्रांति ला दी है,विज्ञान ने जिंदगी में बड़े परिवर्तन किए हैं,1
4,राम और श्याम बाजार गए,रवि और मोहन पार्क में खेले,0
5,कंप्यूटर विज्ञान में मशीन लर्निंग का उपयोग बढ़ रहा है,मशीन लर्निंग का उपयोग कंप्यूटर विज्ञान के क्षेत्र में बढ़ रहा है,1
6,आज का क्रिकेट मैच रोमांचक था,आज फुटबॉल खेला गया,0
7,भारत की संस्कृति बहुत प्राचीन और समृद्ध है,भारतीय संस्कृति बहुत पुरानी और समृद्ध है,1
8,छात्र परीक्षा की तैयारी कर रहे हैं,बच्चे मैदान में खेल रहे हैं,0
9,दिल्ली भारत की राजधानी है,नई दिल्ली भारत की राजधानी है,1
10,गणित एक कठिन विषय है,इतिहास एक रोचक विषय है,0
11,महात्मा गांधी सत्य और अहिंसा के प्रतीक थे,गांधीजी अहिंसा और सत्य के महान प्रवक्ता थे,1
12,किताबें ज्ञान का स्रोत होती हैं,पढ़ाई से जीवन में प्रगति होती है,0
13,समुद्र तट पर सुंदर दृश्य था,पहाड़ों पर बर्फ जमी हुई थी,0
14,शिक्षा मनुष्य के जीवन को दिशा देती है,शिक्षा इंसान के जीवन को मार्ग दिखाती है,1
15,इंटरनेट ने दुनिया को जोड़ा है,इंटरनेट ने पूरे विश्व को एकसाथ जोड़ दिया है,1
16,आज बाजार में भीड़ बहुत थी,आज सड़क खाली थी और शांति थी,0
17,मोबाइल फोन हमारे जीवन का महत्वपूर्ण हिस्सा बन गया है,आजकल मोबाइल जीवन में बेहद ज़रूरी हो गया है,1
18,नदी का पानी बहुत साफ था,तालाब का पानी गंदा था,0
19,भारत की अर्थव्यवस्था तेजी से बढ़ रही है,भारतीय अर्थव्यवस्था निरंतर वृद्धि कर रही है,1
20,बच्चे खेलकूद में भाग ले रहे हैं,शिक्षक कक्षा में पढ़ा रहे हैं,0
21,शिक्षा मनुष्य के जीवन को सही दिशा देती है,शिक्षा से व्यक्ति का जीवन सफल बन सकता है, 1
