id,doc1,doc2,label
1,भारत एक सुंदर देश है,भारत एक खूबसूरत राष्ट्र है,1
2,भारत एक सुंदर देश है,भारत एक अद्भुत देश है,1
3,मौसम आज बहुत अच्छा है,आज का मौसम सुहावना है,1
4,मौसम आज बहुत अच्छा है,आज का दिन खुशनुमा है,1
5,विज्ञान ने मानव जीवन में क्रांति ला दी है,विज्ञान ने इंसान की जिंदगी में बड़े बदलाव किए हैं,1
6,राम और श्याम बाजार गए,श्याम और राम दुकान पर गए,1
7,कंप्यूटर विज्ञान में मशीन लर्निंग का उपयोग बढ़ रहा है,मशीन लर्निंग का प्रयोग कंप्यूटर साइंस में लगातार बढ़ रहा है,1
8,मोबाइल फोन ने संचार को आसान बना दिया है,मोबाइल ने बात करने का तरीका सरल कर दिया है,1
9,शिक्षा का जीवन में बहुत महत्व है,जीवन में शिक्षा का बड़ा महत्व होता है,1
10,गाँधीजी को राष्ट्रपिता कहा जाता है,महात्मा गांधी को भारत का राष्ट्रपिता माना जाता है,1
11,पढ़ाई से ज्ञान मिलता है,ज्ञान प्राप्त करने का साधन पढ़ाई है,1
12,पृथ्वी सूर्य के चारों ओर घूमती है,धरती सूर्य की परिक्रमा करती है,1
13,गाँधीजी को राष्ट्रपिता कहा जाता है,खेल कूद से स्वास्थ्य अच्छा रहता है,0
14,पढ़ाई से ज्ञान मिलता है,पढ़ाई इंसान का भविष्य बनाती है,0
15,मोबाइल फोन ने संचार को आसान बना दिया है,भारत एक सुंदर देश है,0
16,नदी का पानी बहुत ठंडा है,पृथ्वी सूर्य के चारों ओर घूमती है,0
17,चाँद रात में चमकता है,आज बाजार में सब्जियों के दाम बढ़ गए,0
18,भारत एक सुंदर देश है,पढ़ाई इंसान का भविष्य बनाती है,0
19,चाँद रात में चमकता है,पृथ्वी सूर्य के चारों ओर घूमती है,0
20,महिला सशक्तिकरण समाज के लिए जरूरी है,भारत की संस्कृति बहुत प्राचीन है,0
21,भारत एक सुंदर देश है,कंप्यूटर विज्ञान में मशीन लर्निंग का उपयोग बढ़ रहा है,0
22,नदी का पानी बहुत ठंडा है,मौसम आज बहुत अच्छा है,0
23,राम और श्याम बाजार गए,मौसम आज बहुत अच्छा है,0
24,भारत की संस्कृति बहुत प्राचीन है,आज बारिश होने की संभावना है,0
25,पृथ्वी सूर्य के चारों ओर घूमती है,आज बाजार में सब्जियों के दाम बढ़ गए,0
26,खेल कूद से स्वास्थ्य अच्छा रहता है,भारत एक सुंदर देश है,0
27,चाँद रात में चमकता है,राम और श्याम बाजार गए,0
28,मोबाइल फोन ने संचार को आसान बना दिया है,कंप्यूटर विज्ञान में मशीन लर्निंग का उपयोग बढ़ रहा है,0
29,पढ़ाई इंसान का भविष्य बनाती है,आज बारिश होने की संभावना है,0
30,भारत एक सुंदर देश है,फुटबॉल एक लोकप्रिय खेल है,0
31,पढ़ाई इंसान का भविष्य बनाती है,गाँधीजी को राष्ट्रपिता कहा जाता है,0
32,चाँद रात में चमकता है,महिला सशक्तिकरण समाज के लिए जरूरी है,0
33,भारत की संस्कृति बहुत प्राचीन है,मौसम आज बहुत अच्छा है,0
34,गाँधीजी को राष्ट्रपिता कहा जाता है,चाँद रात में चमकता है,0
35,फुटबॉल एक लोकप्रिय खेल है,पढ़ाई इंसान का भविष्य बनाती है,0
36,खेल कूद से स्वास्थ्य अच्छा रहता है,शिक्षा का जीवन में बहुत महत्व है,0
37,आज बाजार में सब्जियों के दाम बढ़ गए,गाँधीजी को राष्ट्रपिता कहा जाता है,0
38,चाँद रात में चमकता है,विज्ञान ने मानव जीवन में क्रांति ला दी है,0
39,पढ़ाई इंसान का भविष्य बनाती है,ताजमहल आगरा में स्थित है,0
40,मोबाइल फोन ने संचार को आसान बना दिया है,नदी का पानी बहुत ठंडा है,0
41,नदी का पानी बहुत ठंडा है,ताजमहल आगरा में स्थित है,0
42,पढ़ाई इंसान का भविष्य बनाती है,शिक्षा का जीवन में बहुत महत्व है,0
43,आज बाजार में सब्जियों के दाम बढ़ गए,गाँधीजी को राष्ट्रपिता कहा जाता है,0
44,मोबाइल फोन ने संचार को आसान बना दिया है,पढ़ाई से ज्ञान मिलता है,0
45,नदी का पानी बहुत ठंडा है,पढ़ाई से ज्ञान मिलता है,0
46,पढ़ाई से ज्ञान मिलता है,मौसम आज बहुत अच्छा है,0
47,महिला सशक्तिकरण समाज के लिए जरूरी है,मोबाइल फोन ने संचार को आसान बना दिया है,0
48,फुटबॉल एक लोकप्रिय खेल है,चाँद रात में चमकता है,0
49,भारत की संस्कृति बहुत प्राचीन है,महिला सशक्तिकरण समाज के लिए जरूरी है,0
50,पढ़ाई इंसान का भविष्य बनाती है,खेल कूद से स्वास्थ्य अच्छा रहता है,0
51,भारत एक सुंदर देश है,महिला सशक्तिकरण समाज के लिए जरूरी है,0
52,पढ़ाई इंसान का भविष्य बनाती है,महिला सशक्तिकरण समाज के लिए जरूरी है,0
53,कंप्यूटर विज्ञान में मशीन लर्निंग का उपयोग बढ़ रहा है,चाँद रात में चमकता है,0
54,चाँद रात में चमकता है,मौसम आज बहुत अच्छा है,0
55,राम और श्याम बाजार गए,खेल कूद से स्वास्थ्य अच्छा रहता है,0
56,नदी का पानी बहुत ठंडा है,राम और श्याम बाजार गए,0
57,पढ़ाई से ज्ञान मिलता है,भारत एक सुंदर देश है,0
58,भारत की संस्कृति बहुत प्राचीन है,चाँद रात में चमकता है,0
59,फुटबॉल एक लोकप्रिय खेल है,ताजमहल आगरा में स्थित है,0
60,शिक्षा का जीवन में बहुत महत्व है,ताजमहल आगरा में स्थित है,0
61,नदी का पानी बहुत ठंडा है,महिला सशक्तिकरण समाज के लिए जरूरी है,0
62,विज्ञान ने मानव जीवन में क्रांति ला दी है,राम और श्याम बाजार गए,0
63,महिला सशक्तिकरण समाज के लिए जरूरी है,भारत की संस्कृति बहुत प्राचीन है,0
64,महिला सशक्तिकरण समाज के लिए जरूरी है,भारत की संस्कृति बहुत प्राचीन है,0
65,शिक्षा का जीवन में बहुत महत्व है,पढ़ाई से ज्ञान मिलता है,0
66,पढ़ाई से ज्ञान मिलता है,राम और श्याम बाजार गए,0
67,चाँद रात में चमकता है,आज बारिश होने की संभावना है,0
68,नदी का पानी बहुत ठंडा है,भारत एक सुंदर देश है,0
69,नदी का पानी बहुत ठंडा है,भारत की संस्कृति बहुत प्राचीन है,0
70,गाँधीजी को राष्ट्रपिता कहा जाता है,आज बारिश होने की संभावना है,0
71,भारत एक सुंदर देश है,शिक्षा का जीवन में बहुत महत्व है,0
72,भारत एक सुंदर देश है,गाँधीजी को राष्ट्रपिता कहा जाता है,0
73,विज्ञान ने मानव जीवन में क्रांति ला दी है,कंप्यूटर विज्ञान में मशीन लर्निंग का उपयोग बढ़ रहा है,0
74,पृथ्वी सूर्य के चारों ओर घूमती है,नदी का पानी बहुत ठंडा है,0
75,भारत की संस्कृति बहुत प्राचीन है,राम और श्याम बाजार गए,0
76,ताजमहल आगरा में स्थित है,मोबाइल फोन ने संचार को आसान बना दिया है,0
